1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	22721.313062	0.000000	0.000290	2404.030902	287.9
1	19343.145790	0.000000	0.000290	1339.498401	1.8
2	20787.327917	0.000000	0.000290	604.472166	2.2
3	19556.024983	0.000000	0.000290	75.708901	1.8
4	19792.330634	0.761216	0.000280	384.813893	3.3
5	19046.136038	0.899539	0.000278	300.238178	1.7
6	19966.396476	1.893571	0.000266	436.659907	2.3
7	19950.835263	1.873804	0.000267	370.953799	4.0
8	19994.909601	2.873804	0.000255	448.131393	4.0
9	19638.067225	2.854849	0.000256	465.037821	3.9
10	20395.439267	3.854849	0.000245	139.470759	2.6
11	19915.288475	3.923132	0.000245	317.521199	2.9
12	19778.422700	3.905716	0.000245	178.884800	3.1
13	19404.773372	4.807944	0.000236	335.516467	4.8
14	20804.715002	4.788237	0.000236	234.623957	4.8
15	20175.546153	4.977217	0.000235	339.574811	4.0
16	20732.038845	4.957822	0.000235	508.027636	3.6
17	19201.762069	4.940637	0.000235	547.784672	6.0
18	20122.120885	4.920871	0.000235	516.965315	3.7
19	19117.523755	5.920871	0.000227	378.057396	4.0
20	20699.153246	5.904272	0.000227	408.167622	5.0
21	20091.984277	5.884509	0.000227	290.816904	5.1
22	20751.157281	5.864752	0.000227	708.037982	5.3
23	20112.812236	6.864752	0.000219	903.655641	5.2
24	20107.837676	7.864752	0.000211	617.917677	4.9
25	19842.688772	8.864752	0.000204	297.110567	4.5
26	20337.922293	9.857316	0.000198	663.584479	3.9
27	19596.273736	10.857316	0.000191	323.590381	3.9
28	19197.524948	11.857313	0.000186	244.839123	3.6
29	19962.455914	11.837549	0.000186	439.534211	3.6
30	21351.931658	12.608322	0.000181	384.513130	5.5
31	20670.805893	13.607024	0.000176	639.673296	9.7
32	19340.455484	14.607024	0.000171	267.753413	5.2
33	20704.409930	15.607023	0.000167	174.361245	6.5
34	19791.525512	15.596207	0.000167	342.262605	5.4
35	20431.036214	16.585964	0.000162	481.094390	5.5
36	20080.733773	17.585454	0.000158	497.596451	6.2
37	19865.637755	18.585454	0.000154	547.261412	6.4
38	19111.150186	18.565687	0.000154	579.528015	4.9
39	20522.179893	19.565686	0.000150	524.933377	5.3
40	20742.017566	19.545919	0.000150	600.282606	5.1
41	20929.725379	20.545919	0.000147	304.411949	5.2
42	19755.473537	20.526153	0.000147	349.379923	4.7
43	19473.638566	20.506395	0.000147	366.248689	2.8
44	20275.793258	20.486629	0.000147	764.513260	3.9
45	20083.549592	21.486629	0.000144	688.919966	3.0
46	19349.660752	22.486629	0.000140	483.296516	5.0
47	19622.576435	23.486629	0.000137	597.823863	2.3
48	19543.765760	24.486629	0.000134	433.710574	2.3
49	19032.861937	25.486618	0.000131	164.857488	3.2
50	19674.965465	25.490088	0.000131	364.226772	4.0
51	20248.983406	26.426922	0.000129	453.185336	2.6
52	20529.099859	26.407195	0.000129	149.105242	2.5
53	19395.623947	26.467479	0.000128	460.106899	2.7
54	20349.148184	26.447728	0.000129	424.288268	2.6
55	20256.203372	27.403915	0.000126	641.863730	6.1
56	20763.654415	27.384149	0.000126	191.179600	6.1
57	19623.779960	27.364382	0.000126	448.497090	4.1
58	18664.368355	28.362930	0.000124	501.900810	4.1
59	20770.982117	28.343163	0.000124	693.707255	4.8
60	19947.265736	29.343163	0.000121	642.527537	4.8
61	19452.819803	30.343163	0.000119	505.275101	4.9
62	19681.943174	31.343163	0.000117	203.320344	3.2
63	20570.552918	31.323397	0.000117	387.716626	6.8
64	21073.522747	32.203793	0.000115	687.189553	4.1
65	20451.933209	32.184026	0.000115	542.071370	4.5
66	19601.431401	33.184026	0.000113	171.243905	4.7
67	21089.273493	33.165101	0.000113	266.175301	4.3
68	20843.193350	33.979220	0.000111	360.412881	3.6
69	19770.022154	34.979122	0.000109	579.135371	4.2
70	20244.143273	34.959377	0.000109	332.048727	6.3
71	20204.177763	34.939613	0.000109	267.590621	3.0
72	19819.346883	35.019735	0.000109	118.445040	3.0
73	21099.124017	35.388970	0.000108	454.805939	3.1
74	19971.294695	36.317856	0.000106	379.978531	3.1
75	20038.509678	37.317044	0.000105	250.734371	3.8
76	20303.743355	37.297279	0.000105	144.844429	3.8
77	20025.872671	37.365527	0.000104	335.478655	4.2
78	19706.047883	37.724810	0.000104	263.114661	4.0
79	20343.064081	37.705893	0.000104	234.479477	3.5
80	19485.179012	37.686167	0.000104	278.054482	4.0
81	19525.821129	37.812613	0.000104	374.016670	5.4
82	20656.204306	38.812429	0.000102	233.606421	5.9
83	19414.095780	39.216439	0.000101	578.665162	5.1
84	18891.940116	39.196673	0.000101	215.212113	9.0
85	19549.456174	40.195354	0.000100	468.945036	4.8
86	20721.176683	40.175589	0.000100	851.644046	4.6
87	20374.072119	40.155822	0.000100	108.033926	4.1
88	19929.520096	41.155500	0.000098	212.450022	4.0
89	19839.277029	41.136873	0.000098	339.981855	3.9
90	19182.168643	41.132289	0.000098	665.619407	3.9
91	20728.245643	42.132289	0.000097	330.764277	3.9
92	20260.650955	43.132289	0.000095	276.066121	4.4
93	20168.732326	43.112526	0.000095	250.121910	4.7
