1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	37459.603310	0.000000	0.000018	4500.580607	174.1
1	35452.889182	0.000000	0.000018	1362.377933	3.9
2	36892.243738	0.000000	0.000018	2885.937964	3.4
3	34111.536118	0.000000	0.000018	1016.683514	2.9
4	36290.153031	0.999995	0.000017	2728.173521	4.5
5	34985.400487	0.980878	0.000017	1485.934866	4.1
6	35987.278431	0.961771	0.000017	1065.730666	4.1
7	37328.377294	0.942654	0.000017	1039.449082	3.9
8	37168.490446	0.923546	0.000017	1281.510093	4.1
9	33968.922589	0.904429	0.000017	1238.402653	3.5
10	36843.176999	0.893212	0.000017	1723.868565	4.8
11	34779.683247	1.880271	0.000017	875.362518	4.7
12	35782.906378	1.996827	0.000017	1841.559203	4.5
13	35784.309858	2.995375	0.000016	1293.184148	4.0
14	36282.058139	3.995368	0.000015	900.225454	4.6
15	37150.269799	3.976252	0.000015	2274.519283	4.7
16	35400.367851	4.631218	0.000015	2812.024229	3.5
17	36172.661867	5.631218	0.000014	1151.393250	3.6
18	35934.041689	5.694676	0.000014	1287.760344	3.7
19	34773.575979	5.675565	0.000014	3589.852671	3.3
20	34950.752497	6.675565	0.000014	2957.044058	3.2
21	35953.843628	7.675565	0.000013	2916.142798	3.3
22	37518.782548	8.675565	0.000013	5481.335373	3.0
23	34802.097119	9.675565	0.000012	2340.020004	3.0
24	34970.184030	10.675565	0.000012	3590.395656	5.4
25	35938.426557	10.656449	0.000012	1726.375903	4.2
26	34926.471172	10.637332	0.000012	2599.395751	4.4
27	35603.976559	11.637332	0.000012	2549.019149	4.5
28	35877.588077	11.618215	0.000012	1591.001520	5.5
29	35520.043073	12.618215	0.000011	2331.820931	4.6
30	35325.152395	13.618215	0.000011	612.894772	5.2
31	36326.217161	13.599313	0.000011	2646.819292	4.0
32	36022.291890	13.580554	0.000011	738.965741	4.0
33	35237.274312	13.562736	0.000011	1495.382969	3.7
34	37679.604207	13.543663	0.000011	1049.374357	3.5
35	35080.033642	13.524587	0.000011	969.739425	3.5
36	34425.808874	13.505471	0.000011	807.706072	3.5
37	35095.848230	13.500276	0.000011	701.175268	4.4
38	36472.538709	13.482223	0.000011	2911.509995	4.9
39	37205.099471	13.463136	0.000011	1411.442473	4.7
40	36408.284214	14.463136	0.000011	1643.493197	4.6
41	35571.694521	14.444019	0.000011	2680.110147	3.6
42	37335.336678	14.424903	0.000011	1380.726465	3.7
43	35736.230425	14.405786	0.000011	736.929730	5.2
44	34540.592682	14.388494	0.000011	2524.314125	5.1
45	36517.644712	14.369849	0.000011	1340.917719	5.1
46	36985.859574	14.350733	0.000011	837.607263	3.9
47	36336.328380	14.343956	0.000011	1097.252856	4.5
48	36110.393487	14.324858	0.000011	1022.089149	5.0
49	37017.252235	14.306212	0.000011	1294.310506	5.0
50	35573.861053	15.042164	0.000011	2123.087321	5.0
51	35079.473376	15.023049	0.000011	1786.853839	4.3
52	36952.131367	16.023049	0.000010	2970.735460	3.9
53	36848.324962	16.003933	0.000010	1187.721415	3.8
54	37074.805326	15.984820	0.000010	1852.656993	3.1
55	36262.382456	16.969146	0.000010	1348.414980	3.0
56	35859.073092	16.950029	0.000010	1888.600163	3.1
57	36946.423506	16.930981	0.000010	1019.953128	3.0
58	36539.849118	16.911864	0.000010	1475.717262	3.0
59	36075.638912	17.350897	0.000010	1143.155219	3.0
60	35658.115151	17.331780	0.000010	746.759586	4.7
61	36202.995675	17.314868	0.000010	1874.595394	4.9
62	36062.607211	17.295828	0.000010	1643.563342	4.7
63	35022.261322	18.295827	0.000010	2227.980051	4.7
64	33873.979703	18.276711	0.000010	1047.771597	4.7
65	35486.689575	18.257594	0.000010	1933.902341	4.4
66	36304.789018	18.238478	0.000010	949.501486	4.3
67	36287.152867	18.219525	0.000010	1251.133842	3.9
68	34101.615736	18.201574	0.000010	1936.995884	3.2
69	36744.283798	18.810063	0.000010	2924.289729	3.9
70	36303.341059	19.810063	0.000009	2103.705069	3.8
71	34553.389081	20.810063	0.000009	735.305961	3.8
72	34562.680665	20.790955	0.000009	857.758678	3.1
73	34622.110490	20.771934	0.000009	2100.556234	3.3
74	37693.355814	20.752891	0.000009	2259.731436	4.5
75	37432.493679	21.752891	0.000009	805.723482	4.0
76	35866.974462	21.733776	0.000009	709.245042	3.7
77	34826.418351	21.715274	0.000009	1942.267916	3.4
78	36242.608485	21.696183	0.000009	1438.053899	5.0
79	35648.341449	22.696182	0.000009	2376.899187	4.2
80	34476.913346	23.696182	0.000009	3146.340791	4.9
81	35161.646010	24.696182	0.000008	1505.276807	4.8
82	34143.543580	25.696182	0.000008	2579.038613	3.6
83	36195.638603	26.696182	0.000008	2232.030955	3.6
84	36432.493711	27.696182	0.000008	1617.276879	3.5
85	36534.244176	27.677065	0.000008	782.268315	3.2
86	35203.518407	27.657987	0.000008	684.561168	3.2
87	35553.401398	27.638983	0.000008	2576.789382	3.2
88	36388.648382	27.621170	0.000008	1364.991919	3.1
89	35294.736904	28.621170	0.000008	1656.505774	3.1
90	35729.978204	28.602053	0.000008	1649.821703	3.2
91	34788.464896	28.582937	0.000008	1224.733969	3.3
92	35259.741454	28.563820	0.000008	1309.348862	3.3
93	37938.508437	28.950768	0.000008	2009.059671	3.3
94	35414.591095	29.950763	0.000007	3060.568207	2.7
95	36750.910987	30.950763	0.000007	873.353741	2.6
96	35764.458370	31.943759	0.000007	1009.141071	2.6
97	35463.691348	31.929788	0.000007	2391.488560	2.7
98	34692.804240	31.910671	0.000007	858.394197	2.7
99	35448.161373	31.892604	0.000007	1523.513005	2.6
100	35715.193054	31.923940	0.000007	1181.244291	2.8
101	34258.702821	32.912886	0.000007	693.921919	2.7
102	36832.805091	32.894296	0.000007	3172.826664	2.8
103	36854.714318	32.875180	0.000007	995.582448	2.8
104	36108.108871	33.875180	0.000007	801.366457	2.8
105	34499.399418	33.856171	0.000007	820.818066	2.6
106	35252.697180	33.837237	0.000007	1234.704020	2.6
107	36352.814995	33.818314	0.000007	798.340604	2.7
108	35983.940064	33.821481	0.000007	1871.919445	2.8
109	36776.611876	33.802364	0.000007	1892.346708	4.8
110	35360.069202	33.783247	0.000007	807.384029	5.0
111	36888.715364	33.776957	0.000007	1417.730267	5.0
112	34318.507837	33.757840	0.000007	755.370846	3.3
113	37105.325810	33.738980	0.000007	1469.546321	3.5
114	35804.819200	33.979097	0.000007	978.257259	3.7
115	35963.572616	34.662617	0.000007	1158.911529	3.7
116	36891.500021	34.647515	0.000007	858.158779	3.0
117	37701.236418	34.628446	0.000007	929.749226	5.1
118	35316.911896	34.609348	0.000007	2004.520186	5.1
119	35342.139448	35.606254	0.000007	837.460325	5.0
120	35572.879670	35.587137	0.000007	704.554823	4.9
121	35456.789107	35.568090	0.000007	696.443576	4.8
122	35766.686252	35.549599	0.000007	2409.771692	4.4
123	37803.175162	35.532212	0.000007	2223.972929	4.2
124	36700.658466	36.532212	0.000007	1566.239059	4.8
125	37238.723425	37.528628	0.000007	1976.235483	5.0
126	36235.791434	38.528628	0.000006	799.407186	4.7
127	35521.686915	38.509928	0.000006	2378.683601	4.3
128	36315.348577	38.491023	0.000006	2268.180677	3.7
129	35832.439499	38.471906	0.000006	825.865706	3.4
130	36201.144055	38.452839	0.000006	2426.738371	3.5
131	36049.280953	38.433791	0.000006	1450.368539	3.4
132	35832.535701	38.785285	0.000006	1001.881917	2.8
133	34482.369568	39.699556	0.000006	1113.607636	2.8
134	35352.475643	39.693734	0.000006	608.959068	2.8
135	34244.126892	39.675006	0.000006	1222.002887	2.7
136	36304.701586	39.656422	0.000006	1525.642594	2.4
137	36151.426157	39.681982	0.000006	1718.301974	2.5
138	34549.085752	39.662865	0.000006	1106.431375	2.9
139	36160.861721	39.643748	0.000006	1474.867730	5.0
140	35960.180635	39.624632	0.000006	882.408943	2.7
141	35842.653403	39.605517	0.000006	1115.219867	2.7
142	37471.785951	39.586407	0.000006	1129.894465	2.8
143	35668.746492	39.607609	0.000006	1267.465464	3.0
144	34823.860321	40.565709	0.000006	1369.229648	2.8
145	34580.770561	41.564045	0.000006	2211.884363	2.8
146	37431.715182	42.564045	0.000006	1558.174916	2.8
147	34763.008169	42.544929	0.000006	854.673364	2.9
148	35674.302786	42.529795	0.000006	1799.581900	2.9
149	34890.659185	42.766696	0.000006	1786.839954	3.2
150	35660.458483	43.766696	0.000006	904.454296	4.3
151	34917.815179	44.717215	0.000006	3331.502636	4.2
152	36101.060815	45.717215	0.000006	1926.790678	4.0
153	36191.303541	46.717215	0.000006	1964.246298	4.0
154	36669.249967	46.698098	0.000006	2078.486909	4.7
155	36753.235244	46.678982	0.000006	2071.739736	3.6
156	35442.616676	47.678982	0.000006	728.582150	3.6
157	36918.192393	47.659866	0.000006	1317.262630	3.9
158	35607.659153	47.640819	0.000006	876.588577	5.1
159	35934.062544	47.621702	0.000006	2600.631739	5.2
160	35877.300350	47.692799	0.000006	1252.780832	5.3
161	36630.977075	47.673682	0.000006	2049.638243	4.0
162	35591.729297	48.664143	0.000005	832.712323	3.9
163	34468.894579	48.645879	0.000005	1616.921934	3.8
164	35356.769039	48.626763	0.000005	1970.630262	3.6
165	35849.923171	49.618294	0.000005	1093.139819	5.1
166	35630.273715	49.599177	0.000005	1591.787134	5.2
167	34586.272038	49.593130	0.000005	1801.372497	5.1
168	35512.270155	50.592993	0.000005	1551.613963	5.0
169	36364.641899	51.592993	0.000005	927.323878	5.0
170	35057.599785	51.647024	0.000005	810.056154	3.8
171	35839.070465	51.627915	0.000005	2625.378725	3.8
172	36398.280992	51.609571	0.000005	1391.191890	3.9
173	37030.227697	52.609571	0.000005	1773.812052	4.0
174	35817.948614	52.590454	0.000005	649.110419	3.8
175	35683.825809	52.571686	0.000005	2116.612458	3.1
176	36242.980490	52.552660	0.000005	891.486952	3.2
177	35567.739977	53.032699	0.000005	1702.498893	3.3
178	36570.771039	53.309596	0.000005	3492.608065	3.0
179	35132.447729	54.309596	0.000005	794.694534	2.9
180	36139.266320	55.303951	0.000005	1914.855517	2.8
181	34611.031334	55.284841	0.000005	1670.948175	2.9
182	36606.440573	55.265724	0.000005	716.928958	2.8
183	35230.605803	55.253256	0.000005	1189.078145	5.5
184	36115.186347	55.234179	0.000005	1955.446978	3.1
185	35167.199287	56.234117	0.000005	1141.526620	3.4
186	35542.395792	57.234085	0.000005	980.154657	3.3
187	33272.917261	57.214968	0.000005	900.625199	2.8
188	36195.990888	57.315777	0.000005	1680.552659	2.9
189	36156.947261	58.284134	0.000005	990.022902	3.8
190	35694.471586	58.284645	0.000005	1133.746502	5.1
191	36194.464647	58.272006	0.000005	959.167204	5.1
192	38436.420491	58.252890	0.000005	1175.483083	4.5
193	35763.077178	58.242741	0.000005	1607.369651	2.4
194	36296.837588	58.223624	0.000005	2235.909073	2.4
195	36796.528098	59.223624	0.000005	1994.493295	2.6
196	36336.738915	59.204507	0.000005	1649.462967	2.9
197	36267.977522	59.185390	0.000005	990.512930	2.9
198	36207.182656	59.829910	0.000005	2331.779944	2.8
199	36567.668271	59.810794	0.000005	1742.264093	2.3
200	34971.032944	60.810794	0.000005	1006.619079	2.3
201	35452.673972	60.960965	0.000005	943.522261	2.3
202	34765.303300	60.941849	0.000005	1364.539867	2.3
203	35265.085346	60.922840	0.000005	2229.359493	2.4
204	34235.002504	61.921681	0.000005	646.838957	2.4
205	35071.834342	61.902569	0.000005	770.189168	2.4
206	35120.777306	61.883721	0.000005	1988.546324	2.4
207	37041.454422	61.868678	0.000005	2038.151076	2.5
208	36206.607914	62.868635	0.000005	684.997355	2.6
209	36548.630433	62.849651	0.000005	1765.641673	2.7
210	35733.850341	62.830537	0.000005	1778.270992	2.6
211	34568.585533	63.830537	0.000004	1004.763919	2.4
212	36128.464115	63.811420	0.000004	1147.965818	2.2
213	34990.076500	63.795244	0.000004	898.221863	2.2
214	37769.772792	63.776170	0.000004	1613.662189	2.3
215	35679.458110	63.975298	0.000004	1490.632186	2.3
216	34356.588721	63.956220	0.000004	1121.777639	2.3
217	35456.061789	64.938291	0.000004	800.942148	2.3
218	35312.527542	64.934348	0.000004	698.009931	2.3
219	33812.356153	64.917575	0.000004	1119.887352	2.3
220	37009.175665	64.901916	0.000004	1557.526693	2.6
221	35732.259779	64.882799	0.000004	1299.961511	2.5
222	37110.427944	65.882084	0.000004	1401.819163	2.6
223	36491.824542	65.862967	0.000004	3157.868842	2.7
224	35309.734596	65.843850	0.000004	1897.858167	2.9
225	34156.270304	66.843850	0.000004	1650.379788	2.8
226	36171.289016	66.824733	0.000004	2517.569075	2.8
227	36054.124825	66.805617	0.000004	3420.043715	3.0
228	36098.268029	66.786500	0.000004	2808.398751	3.1
229	34175.310652	67.786500	0.000004	2192.830710	3.0
230	36724.410985	67.767383	0.000004	1028.504700	3.0
231	36423.183884	68.767372	0.000004	1061.382959	2.7
232	36550.835490	68.748255	0.000004	2395.653831	2.9
233	35836.889535	69.748071	0.000004	1224.146891	2.9
234	35877.289933	69.728954	0.000004	1553.853827	3.2
235	33611.109694	69.709839	0.000004	1272.036272	4.2
236	36220.654801	70.709826	0.000004	1436.144884	4.2
237	36005.270020	71.692054	0.000004	938.866283	2.3
238	35031.120691	71.953526	0.000004	792.346239	2.2
239	35113.637953	71.934420	0.000004	2355.592470	2.3
240	34254.533001	72.933421	0.000004	1057.864864	2.3
241	34057.141790	72.914304	0.000004	1936.748747	2.6
242	35334.268717	73.903851	0.000004	1026.914063	2.5
243	36452.360912	73.884734	0.000004	1052.358796	2.4
244	36759.022349	73.865617	0.000004	1232.031017	2.5
245	36981.952731	73.846500	0.000004	1337.849891	4.7
246	34493.616704	73.827383	0.000004	2958.670543	3.1
247	35257.485099	74.827381	0.000004	1596.156629	3.1
248	36000.345962	75.827381	0.000004	1004.669977	3.3
249	35464.037946	75.808304	0.000004	732.324494	2.4
250	34982.839509	75.789870	0.000004	1160.711409	2.4
251	36618.597841	75.770786	0.000004	757.354879	2.5
252	37005.001553	75.768227	0.000004	1437.189161	4.9
253	35620.755328	75.749218	0.000004	1737.498655	5.4
254	34990.653751	76.749145	0.000004	632.836128	4.9
255	36788.842965	76.735322	0.000004	779.104678	5.0
256	34989.796416	76.716320	0.000004	1056.737040	4.7
257	35582.940320	76.697249	0.000004	922.086003	5.0
258	34262.138381	76.678739	0.000004	1995.047760	4.6
259	34439.212307	76.850297	0.000004	871.283729	4.3
260	35514.158849	76.831181	0.000004	1687.253906	3.3
261	35339.480838	77.113464	0.000004	1150.742389	3.1
262	36414.752640	77.607943	0.000004	868.978932	2.6
263	36362.538465	77.589735	0.000004	1737.460828	2.9
264	35138.772648	77.602738	0.000004	713.716694	3.0
265	34811.875420	77.583690	0.000004	1483.122134	2.9
266	33934.966654	77.582357	0.000004	1296.189706	2.9
267	34240.458866	77.563253	0.000004	2015.684451	4.3
268	36377.538569	77.544136	0.000004	1591.111029	4.9
269	35633.453366	77.525019	0.000004	1341.730822	5.0
270	35430.692037	78.524978	0.000004	1292.438139	5.1
271	34952.727259	78.515029	0.000004	687.897010	4.9
272	34754.029077	78.495933	0.000004	3742.482776	4.7
273	37287.468720	79.482079	0.000004	1733.569417	4.2
274	35409.779456	79.462962	0.000004	1045.263223	4.1
275	37409.267834	80.345579	0.000004	877.683489	3.7
276	35987.776811	80.328867	0.000004	1667.481259	3.7
277	34804.234796	80.824068	0.000004	1743.069775	3.8
278	35407.900495	81.824068	0.000004	2485.104665	5.0
279	36277.621091	82.824068	0.000004	1002.743458	5.0
280	34805.831343	83.823922	0.000004	1174.783431	3.9
281	35759.160621	83.804977	0.000004	1660.420478	3.8
282	36315.156482	83.786328	0.000004	1464.168220	3.7
283	35870.996375	84.065131	0.000004	967.020609	4.2
284	35435.407417	84.126500	0.000004	2302.333215	4.2
285	35541.034311	85.120303	0.000004	963.802691	3.4
286	35330.093638	85.530042	0.000004	1053.102200	3.4
287	36454.264614	85.827361	0.000004	3090.908853	3.6
288	35634.655648	86.827360	0.000004	1243.059098	3.0
289	35359.764559	87.824546	0.000004	1236.880092	3.1
290	36746.404744	88.242973	0.000003	2243.729079	3.0
291	35158.540717	89.242969	0.000003	1324.510522	3.1
292	34960.339164	89.223852	0.000003	879.536716	3.1
293	34178.914882	89.240349	0.000003	1005.478027	3.1
294	35712.972596	89.221324	0.000003	2682.098569	3.0
295	34532.708837	90.221324	0.000003	2196.166547	4.1
296	35879.760720	90.202207	0.000003	2439.586165	3.1
297	35543.538174	91.202207	0.000003	972.420885	3.1
298	34039.253381	91.183090	0.000003	1650.465116	3.1
299	35801.444356	91.163973	0.000003	1303.739849	3.5
300	34154.973727	91.144856	0.000003	1113.449671	3.1
301	35931.155721	91.714695	0.000003	1934.723936	3.4
302	36349.397408	91.696494	0.000003	2364.491655	4.9
303	36023.122194	91.677377	0.000003	2015.844937	5.0
304	35602.615092	92.677377	0.000003	980.773683	5.3
305	36054.809466	92.658261	0.000003	1303.744092	5.0
306	36655.229678	93.340444	0.000003	1851.879780	3.3
307	36011.804907	93.321327	0.000003	2198.048006	4.2
308	35287.046864	94.321327	0.000003	669.804282	3.7
309	36813.697321	94.302211	0.000003	2903.719893	3.6
310	36388.932816	94.283094	0.000003	737.126587	3.5
311	34691.012724	94.263977	0.000003	2227.837173	3.4
312	35125.199677	94.274087	0.000003	1327.049084	3.3
313	36859.279205	94.254970	0.000003	2803.190152	3.5
314	34173.798649	94.235865	0.000003	1706.261718	3.4
315	34513.005096	95.235865	0.000003	867.331987	3.4
316	34011.469797	95.223354	0.000003	1032.213649	2.7
317	36094.096973	95.215288	0.000003	1038.402528	2.7
318	35126.793331	95.370914	0.000003	996.985102	2.6
319	36767.980778	95.351802	0.000003	2491.847301	2.7
320	35740.018893	96.350188	0.000003	1572.353244	2.6
321	34196.435966	96.331071	0.000003	1043.098780	2.5
322	35147.664798	96.311954	0.000003	2207.608538	2.6
323	36074.275816	96.292838	0.000003	2666.057369	2.5
324	35711.336444	97.292838	0.000003	1085.295040	2.6
325	36736.321959	97.273721	0.000003	1048.637641	2.5
326	37239.583122	97.254655	0.000003	762.718110	2.5
327	35957.916502	97.237986	0.000003	1109.911529	2.5
328	35101.162097	97.219225	0.000003	1414.961265	2.5
329	35063.995285	97.232742	0.000003	1992.670780	2.4
330	35770.238314	98.232730	0.000003	1469.129611	2.5
331	35585.448926	99.160357	0.000003	982.169239	2.6
