1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	31270.915673	0.000000	0.000029	2534.886416	235.4
1	29959.545064	0.000000	0.000029	3514.535489	5.4
2	33069.271040	0.000000	0.000029	1200.195440	1.9
3	30841.015964	0.000000	0.000029	2589.349962	3.2
4	31848.382399	0.000000	0.000029	3560.494752	2.9
5	31259.478844	0.999995	0.000028	2647.490628	2.5
6	32265.685329	0.856883	0.000028	4863.086441	2.2
7	31926.152959	1.856883	0.000027	4161.049836	2.3
8	32429.273128	2.856883	0.000025	4150.481189	2.4
9	28860.516298	2.713772	0.000026	2306.613985	2.3
10	28830.719556	3.713761	0.000025	3571.547969	2.2
11	33232.657935	3.570650	0.000025	1413.417080	2.2
12	35511.889434	4.559925	0.000024	2858.318974	2.1
13	29722.038787	4.619641	0.000024	3485.785672	2.1
14	30115.970173	5.619610	0.000023	1272.929233	2.2
15	31334.039707	6.619251	0.000022	588.896292	2.3
16	28950.941161	6.806003	0.000022	801.474612	2.3
17	31017.444988	6.731548	0.000022	2841.376084	3.5
18	29694.278836	6.591878	0.000022	2488.636316	4.3
19	29749.440967	7.591878	0.000021	888.012702	2.9
20	31658.959081	7.449558	0.000021	1780.705728	2.6
21	31849.955117	7.479957	0.000021	4413.984141	3.9
22	30821.762310	8.479957	0.000021	3494.974069	4.7
23	34739.804758	9.479957	0.000020	3663.054580	2.9
24	30724.810017	10.479957	0.000019	3538.996581	4.1
25	32191.560803	11.479957	0.000019	280.978343	5.2
26	31131.553183	11.427001	0.000019	2650.395850	5.2
27	33147.947260	11.693766	0.000019	2487.408678	5.5
28	31939.743211	12.693765	0.000018	1662.222947	5.4
29	30025.784384	13.673651	0.000018	1886.660495	5.8
30	29818.636081	14.651737	0.000017	1148.210717	5.1
31	32692.344339	15.503651	0.000017	899.052671	5.4
32	30172.371776	15.390633	0.000017	1914.383941	3.8
33	32536.220422	15.811604	0.000017	1716.936585	4.2
34	34850.086966	16.805215	0.000016	4328.546162	3.7
35	30262.029727	16.662104	0.000016	2287.815729	3.6
36	36500.603710	16.518993	0.000016	2257.871702	3.8
37	32119.149485	16.376203	0.000016	2528.699432	3.4
38	28967.355976	17.376181	0.000016	401.943514	3.5
39	30942.171891	17.406306	0.000016	4845.619692	2.9
40	29748.901707	17.302316	0.000016	2042.613160	4.1
41	30561.615738	18.302247	0.000015	1710.884756	2.8
42	32924.150031	18.427939	0.000015	4280.229301	3.0
43	31879.391418	18.284829	0.000015	1536.468276	6.4
44	30898.195386	19.259723	0.000015	6281.077560	3.8
45	27877.535095	19.116612	0.000015	870.043411	4.8
46	33752.582756	20.108820	0.000015	6101.012477	4.5
47	35297.403294	19.965858	0.000015	2592.749039	3.8
48	31157.276881	19.829890	0.000015	4922.344044	3.7
49	33599.521556	20.709799	0.000015	298.670324	3.5
50	33884.388493	21.023278	0.000014	3378.545781	3.5
51	34460.531902	20.939965	0.000015	1590.094929	3.5
52	31591.145085	20.817903	0.000015	3702.585360	3.3
53	32522.957666	20.679968	0.000015	3768.756134	3.3
54	31126.726366	20.551781	0.000015	2883.631542	3.3
55	32131.462493	21.551781	0.000014	1341.824638	3.2
56	32470.709313	21.408920	0.000014	1149.682777	3.1
57	32224.751978	21.269697	0.000014	1513.165615	3.2
58	30734.130972	21.150122	0.000014	4081.503554	3.3
59	32414.290955	22.138150	0.000014	2074.540750	3.3
60	35857.308135	23.137719	0.000014	895.091656	3.3
61	28708.651680	22.997752	0.000014	5084.482066	3.3
62	31273.246483	23.976914	0.000014	919.019038	3.2
63	35925.486873	24.975642	0.000013	2331.494159	3.3
64	31232.683666	24.838038	0.000013	1441.609016	3.4
65	31532.313745	24.702330	0.000013	930.438987	3.6
66	37041.520316	24.606181	0.000013	2662.003983	3.6
67	34224.654845	24.474538	0.000013	835.200526	3.6
68	32476.852203	24.333931	0.000013	2589.026552	3.5
69	28631.609080	24.264343	0.000013	2724.500531	3.6
70	29433.202147	25.264340	0.000013	534.526339	3.7
71	29033.368172	25.173219	0.000013	1437.075970	3.9
72	34788.331608	25.500608	0.000013	2566.364138	5.3
73	30608.697126	25.357658	0.000013	5265.859441	5.3
74	29879.571220	25.214546	0.000013	5387.183880	4.7
75	28803.130568	26.214546	0.000013	2960.105473	4.0
76	33839.255285	27.214538	0.000013	4539.907561	4.1
77	32713.141624	28.129927	0.000012	2320.622189	5.4
78	33048.152130	29.129927	0.000012	3223.007735	5.5
79	29250.602705	28.986816	0.000012	1384.551983	5.7
80	34263.700398	28.843708	0.000012	1830.960272	5.2
81	31625.844289	28.718016	0.000012	1950.533627	4.8
82	30578.357377	29.677366	0.000012	1720.883182	5.5
83	33572.230571	29.535455	0.000012	1833.813021	6.1
84	30691.409603	29.406645	0.000012	749.445379	4.7
85	33319.324432	29.355648	0.000012	871.378986	5.2
86	29918.447293	29.664093	0.000012	1874.706571	4.5
87	34197.601605	30.251266	0.000012	1103.177697	4.6
88	35370.096077	30.197142	0.000012	1905.977174	4.0
89	29669.402932	30.907177	0.000012	2187.758072	3.7
